id,source,overalltext,overalltextloved,overalltextimprove,privatetext
25256,translation,"An absolutely successful long weekend was also supported by the stay in the flat, which was clean, super located, well equipped and modernly furnished. A quick call to the landlord also led to immediate success and the accommodation can therefore be highly recommended. Thank you.",,,"Many thanks for a lovely flat, the prompt help with the door (battery flat) and the tips. The TV and Wi-Fi didn't work properly from time to time, but that wasn't important to us."
25255,original,Traumwohnung <3,,,"thank you for everything, I will need the invoice soon"
25254,translation,"Nice, well-equipped flat (except for the air-conditioning, which sometimes leaked to the point of accumulating 1 inch of water in a bucket). We had to wipe the floor every day when we returned. It's a pity this defect wasn't corrected before we rented, because you could see from the swollen paint on the ceiling around the air conditioner that this wasn't the first time it had leaked. Not to mention the fact that 5 minutes after noticing our rental error on AirBnB, the Prague Days company refused to cancel the reservation. AirBnB compensated us slightly by offering a meagre compensation of $80 on a future rental. In short, it's a shame about all this history when we've been customers for more than 10 years.  Finally, the apartment was well located, right next to the canal, lined with large trees that were very pleasant for walks and stops at the terraces. Close to public transport, so easy to visit places of interest (old town, Prague Castle, Charles Bridge, etc).",,,"The air conditioning sometimes leaked so much that 1 inch of water accumulated in a bucket, and sometimes even in 2 buckets. We had to wipe the floor every day when we returned. This defect would definitely have to be corrected before the next rental, because you could see from the swollen paint on the ceiling around the air conditioner that this wasn't the first time it had leaked. Not to mention that 5 minutes after noticing our rental error on AirBnB, your company Prague Days never wanted to cancel the reservation. This shows a lack of judgement, professionalism and ethics. We will never again rent an apartment managed by Prague Days."
25253,original,low-key place with everything you need just around the corner,,,
25252,original,"Good location, clean apartment with an elevator, everything available.",,,"The only issues were that the shower door was coming off at the bottom, the door of the far room was coming off its hinges, and the shelves in the second bedroom were loose. But everything else was great – thank you!"
25251,translation,We had a very pleasant stay! To be repeated!,,,
25250,original,"Beautiful space, very conveniently located near attractions, restaurants, and shops.",,,
25249,original,Great place to stay. Only downside is that the air conditioning is very loud so hopefully you like white noise whilst you sleep or don’t mind the heat. Easy walk into town and supermarket right next door.,,,"A few things were amiss. The shower head was broken so it will need replacing. Also, the bathroom does not smell entirely pleasant due to the heating in there being turned far too high. Great place, those are the only slight issues"
25248,original,Magic staying),,,
25247,original,We would stay here again. Great location. Well equipped apartment.,,,
25246,translation,"Magnificent flat right in the centre of Prague. The balcony is the big plus of the flat, with a view of the cathedral and Prague castle.
100% recommended",,,"Thank you for this stay! I left a little late but the cleaning lady gave me an extra 5 minutes to finish my bag. She was just super nice!
Bonne continuation!"
25245,original,"We enjoyed our stay! 
The apartment looked nice and clean. It’s quite close to the tram stops, so it’s easy to get to the city center. The TV also had a few streaming services like Netflix available, so that was a pleasant surprise. We did face a few issues: we didn’t have any towels when we checked in, so that was very inconvenient, but the host was able to resolve it pretty quickly. Another issue was that the stove did not work properly, always turning on and off, so we had to use the oven instead. The balcony area is also shared with another apartment, so that’s something to keep in mind. Overall, the place is great!",,,
25244,translation,"The inside of the house was very old, dirty. You can hear the creaking of wood while walking on the floor. They wanted to compensate us for the prague days that left the broken door handle in ruins. The old age of the house should be thought-provoking in this context. The location was quite good.",,,
25243,original,"So clean, sunny, lovely and thoughtfully put together. 2 bathrooms and a separate lofted space are great for 2 people with different sleep schedules. The location is perfect, really - beautiful, very walkable and great access to public transit. It was a treat to stay here - Thank you!",,,"I always try to write a suggestion or two, as I appreciate them myself, but I really can't come up with anything. It was like a dream to stay there.  Thanks again!"
25242,original,Beautiful place at the heart of Old town. The rooms are spacious and well lit. We had a lovely time here,,,
25241,translation,"We had an excellent stay in Prague in this beautiful flat. Ideally located, very clean, very well decorated.",,,
25240,translation,"We had a great week in Prague overall!
The location of the accommodation is ideal - super central, easy to reach everything and absolutely fair for the price. The kitchen equipment was unfortunately a bit sparse, which limited us a bit. However, the missing items were brought round immediately on request.
All in all, a very good stay, we would love to come back!",,,
25239,original,"fantastic apartment and location is amazing. I loved my stay. the apartment has two large rooms and well equipped kitchen in the large hallway. the views are amazing and very quiet considering the busy area. all important things are walkable, supermarket, restaurants and bars. Trams, buses and metro just around the corner. Easy to get to from the airport by public transport. you will enjoy your stay here.",,,"I loved your apartment. just a few items to improve...
1. the instructions to get in were not that clear in English, but worked. I think the key item is to explain the lift and apartment entries are half a level seperated 
2. we ran out of toilet paper so I took additional from your supply
3. there was a not to pay for bars coded items... but I found none 
4. it would be nice to include additional coffee capsules for the longer stays"
25238,original,"Wonderful place to stay! The host was very helpful, responded quickly and had wonderful suggestions for the area. Next time I come I’ll stay again.",,,"Hey there! We had a great stay! Thank you so much! I had a couple suggestions:

Washer machine was bit difficult to figure out given it’s in a different language

The pillows for the bed need to be better, they were so flat like nothing to them. 

Everything else was AMAZING! You are the best host we have ever had! We appreciate everything!"
25237,original,"We met up with friends in Prague and had a great stay here! We used the kitchen, dishwasher, and washing machine, which helped us feel right at home. The unit is walkable to several tourist parts of town. The unit did not have AC so we used the fans provided and opened up windows to keep cool. We note that the listing states there is no AC so we knew this going in. Also, while there was street noise from the bar across the street, we were able to use a noise machine and earplugs to reduce the noise. Overall, a great stay and a responsive host made for a great weekend vacation!",,,
25236,translation,"Thank you very much for the quiet and cosy atmosphere.
Great apartment. My husband and I stayed for a few nights.
Everything was very nice, clean, spacious and quiet",,,
25235,original,"it's fine, but if you're in for a long duration please carry for essentials. 

also, the old Town is 25 min walk.",,,
25234,original,"stayed for a week, had a great time, clean and quiet, top notch appliances, host is helpful and responds really fast

will definitely book again",,,
25233,original,Had a wonderful stay. Beautiful place and great communication. Felt safe and comfortable.,,,Thank you for everything.
25232,original,Nice apartment in a great location. A bit of noise from the tram line if you are in the front two bedrooms.,,,
25231,translation,"We had a great stay in Prague and in our
apartment. It was very hot when we were there and the apartment has no AC, but we knew that already. We searched for accommodation with a lift as we have a guy in a wheelchair and were a bit surprised when we realised that there was a staircase up to the lift. Maybe we missed that information or it is missing, luckily our guy can walk a little with help so we solved it anyway.

Regardless, we thought that the apartment matched the description well and that it was a perfect location for us to explore Prague. Thanks for a great stay!",,,Thanks for a great stay !
