id,source,headline,negative,positive
5630,translation,"Excellent location, clean and very comfortable",There was nothing of the sort.,"Cool modern decor, spacious, We had every amenity from dishwasher, laundry to packed toothbrushes.
Enough coffee capsules for our stay.
Definitely above our expectations.
Great and fast acting staff.
Flat close to the centre but in a quiet street."
5628,original,,,"I rented an apartment in Prague Days for three days. The shower room is equipped with shampoo and shower gel with a very pleasant smell. The bathroom has a washing machine, dryer and ironing board. The apartments are equipped with all necessary household appliances for a comfortable stay. The apartment administration was very friendly and helpful, they wrote via booking.com to see if everything was okay, they talked about interesting cultural events in Prague. There is an Andel metro Station five minutes from the apartment, and the Charles Bridge is about 1.5 kilometers from the apartment. The area is quiet and peaceful."
5624,translation,,I had a problem getting the keys. The keys were in a locked box in a secret place. But they did not fit the door of the apartment. I had to wait for an hour under the door until a courier delivered them to me. It was very inconvenient from the road to wait for the keys.,"Everything's great, Except for the keys."
5621,original,Good value & location,Small washing machine and no real dryer for clothes. They do have a radiator system that you can dry your clothes on but it is just too hot to use it if the temperature outside is over 60 degrees F. You have to open the windows to let the heat & moisture out of the apartment otherwise the place will steam up.,It conveniently located near lots of restaurants and just a couple blocks from the trolley or the Zizkov tower. The staff was very gritando were easy to reach out to if I had questions about features at the apartment.
5619,original,,Noisy downstairs and no Air conditioner first floor,Location terrace
5618,original,,Walking up the stairs as one of us have back pain,
5617,translation,,,Super location. Good facilities. Clean and pleasant accommodation. Clearly worded instructions.  Thank you for everything.
5616,translation,,"There was not enough water for 3 people to take a shower, although the boiler is large, the beds were not made at check-in but then the linen was brought, and the lack of a private parking space.","Quiet place, the windows are located in the courtyard, so it's cosy, 5 minutes from the tram stop. The bed is soft but it was comfortable to sleep."
5615,original,Great appartement in the heat of the city.,Description of the keybox at arrival.,"Newly refurbished flat close to the old town, midern, stylish, with comfortable bed
The communication with the host agency was perfect."
5613,translation,,,"The apartment is located close to the central part of the city, and there is also a park with a beautiful view, especially at night. The apartment has everything you need, the owners are always in touch and offer assistance."
5612,translation,Definitely to be repeated and recommended!,-,"A wonderful flat - everything of the highest standard! The location, the furnishings, the decor and... the BEDROOMS, which we ordered a bit blind and turned out to be a hit. I don't know if this is standard, but we had our meals at a nearby restaurant, The Spot, where everything also matched - taste, service and interior."
5610,original,"Decent stay , nice place, value for money could have been a little better","1. No dishwasher in the property , thought it was listed when people stay for longer days enough supplies for washing utencils have to be provided
2. Bedroom, the property doesnot have two bedrooms, the two beds are split by a mirror.
3. May be for longer stays they should consider to send people to collect trash bags , being visitors not sure where to throw them",The locaion was very nice and accessible to the center and river. Access to public transport was nice.
5608,original,,"The sofa bed should always have a topper. With out a topper this sofa can't really be considered as a bed due to its discomfort. 

Not easy to flush the toilet even though we tried to limit our toilet paper usage.

A small dish rack will definitely be a plus.","It is located not so far from Tram 17 station, which takes us to the old town very easily. 

An air-con is a big plus on summer days! 

Free parking in the courtyard. You have to open the wooden door widely and drive in. 

Communication with all agents was smooth and friendly."
5607,translation,,,Wonderful apartment! There is everything you need for a comfortable stay and even more♡
5606,translation,,No,"First time in Prague and a very successful trip. Flat in a sensational location, new, clean. On site everything you need to relax. In addition, underground parking space. Super contact with the staff. I recommend 100%! I would give a higher rating than 10 if it were possible:)"
5604,original,,"No laundry detergent.
Only half the curtains worked.","Spacious, clean, well fitted."
5600,original,,Nothing. It was great,"Lot of space, great location, very responsive"
5599,translation,,,Very nice
5598,translation,Would book again and recommend it to others,Stairwell or no lift .,"Good location, good facilities, very clean"
5596,original,COULD BE BETTER,"MANAGEMENTS ATTITUDE 
ONE MORNING I HAD TO SHOWER IN FREEZING WATER. 

THEY SAID THEY WILL NOT HAVE ANY REPAIR MAN TO SEND FOR MANY HOURS.",
5595,original,Ideal for a longer work stay,,"I stayed in the apartment for a work stay of 1 month. It has all the amenities needed for a longer stay. It is in a nice, well-accessible location with public transport, supermarket, shops and restaurants nearby. The communication with the host was quick and easy and they were very helpful with additional requests."
5594,translation,,"Ants in the bathroom and fold the internet connection. Router spoiled, the cable held only by adhesive tape. By the fact that the password also contained letters, it could not be connected via the controller without letters TV, Netflix, youtobe. In the drawers under the bed there were dirty bed linen and towels, apparently from previous accommodations",Location and accessibility. Nice spaces in the lobby. Washing machine in the room.
5593,original,,Prefer more toilet paper.,"Location is good.
Clean and tidy.
Easy check in and check out."
5589,original,So so,"Small, cheap interior, zero amenities (I'm not counting anything that's a norm in accommodation). Too expensive. Early checkout (10 am, hilarious). We were given only one bath towel and two small ones. I recommend finding something else",Quite clean and that's it.
5586,original,What a cool place to stay!,,Everything was great with this place for my stay in Prague. I’d loved the artwork and vibe of the apartment
5585,original,,"Could be cleaned a bit better before our arrival, some dishes weren’t clean","Everything is pretty much as described, equipped good for shrot stay, around 30 min walk from center but uber is relatively cheap around 5-7eur"
5584,translation,Super flat!,"Unfortunately, my side of the bed was sagging.","Great flat, well connected to public transport, quiet location."
5582,translation,A great place,,Spacious beautiful rooms and excellent location. Very close to restaurants cafes etc.
5580,translation,The whole family loved it,,"Convenient location close to the centre
Nice, clean accommodation with everything you need to stay."
5577,translation,,Window from the toilet to the pavilion. Missing rod for pulling down the blinds,Tasty apartment
5576,original,Nice place to stay and celebrate my birthday.,"There were some leftovers from previous tennants on the regular locations. Such as under overhangs from the cabinets, underneath the couch. I notified the hosts and they told me they'd adress the cleaning company on it.",I enjoyed the overview of the construction site. The parking garage was also easily accesible. There are supermarkets within walking distance. Overall the experience was lovely.
5575,original,Very centrally located,Very bright and noisy,Location was brilliant
5574,original,Sve pohvale za organizaciju,,"Fenomenalna lokacija,besplatan parking u podzemnoj garazi"
5573,translation,,The third floor by stairs. The rest spectacular,"All very good, clean, perfectly equipped and very close to everything."
5572,original,Great location at a fair price.,"The sides of the bed had no space between them and the walls,",The location was excellent.
5569,translation,Five wonderful days in a wonderful city ❤️,Only one day we had difficulties with the lift not working. But this problem was solved immediately,"The location was very nice.
The apartment was very clean and organised in such a way that every need was considered.
It was very nice that they understood the delay in our departure time caused by us."
5568,translation,For my next trip to Prague I will definitely look for another accommodation.,"The flat is nice, but unkempt, dingy and only clean at first glance. There are cobwebs hanging from the ceiling, hair in the fridge, undefined dried liquid above the oven and freezer, doors and cupboard full of sticky residue ... So, no defects that couldn't be easily removed.
Cooker doesn't work, neither does the toaster. Every time the dishwasher is opened, the bottom cover/plinth falls off the whole side of the kitchen.
Communication via Whatsapp worked. We were able to use a two-burner hob that was in the cupboard in the kitchen. Obviously a known issue that wasn't communicated beforehand. probably waiting and hoping guests don't cook. When I mentioned that the toaster wasn't working, there was no response.","The flat would have everything you need.
The flat would be nice, convenient for Prague. The bathroom is nice and shower has good water pressure. The kitchen is well equipped. The house is quiet."
5567,translation,Chic flat in a good neighbourhood.,,"Cleanliness, cosiness, design, order. Absolutely new flat in the city centre. Beautifully furnished. There is absolutely everything you need for life, I am sure that even more than required for a short rental. Excellent customer service, constant contact with the guest."
5562,translation,"Spacious flat, very good and fast communication with the staff through messages, central location next to the apartment.",,"It has all the necessary equipment for a stay of a few days, they left us capsules to make coffee and tablets for the washing machine."
5561,translation,,The only problem was with the beds . If there were 2 couples there was nothing to do but sleep on them.. .. they squeaked till the dogs in the street turned around.,"The apartment on the corner of the building is great. Nice nice facilities. Balcony overlooking the construction cranes at which I relaxed even with coffee for 2 hours.
We really enjoyed the evening atmosphere , where the apartment was lit only by street lamps.

Great+ , that everything is very close- shops , restaurants, metro etc."
5560,original,,"Quite noisy at night due to a nearby tram line so earplugs are essential. Water disappears from taps randomly, apparently, pressure in the mains is insufficient for the attic. Also would appreciate blinds in the bathroom and correct code for the key box.","Great location, well equipped flat, all basic consumables, special thanks for coffee capsules."
5559,translation,"Very nice, clean and well equipped flat in a central location.","The flat is on the 4th floor without a lift, which is also mentioned in the description of the accommodation and was not really a problem for us.
There is a disco on the ground floor of the building opposite, which can be quite loud at night. The accommodation provides earplugs, which we were initially surprised about. After the first night, we realised why. We didn't need the earplugs, but we were also blessed with a good night's sleep.","Very nice, clean and well-equipped flat in a central location, all sights are within easy walking distance. The pictures on booking correspond to reality. Very informative and good information from Prague Days about the stay - there was also detailed information about the key handover and everything went very well.
We would definitely book the flat again."
5558,original,,Some noise from the bar outside on the street.,Great location and a very nice apartment and nice to be able to eat and talk with the full group of people/family.
5557,original,I am very satisfied about my stay here.,,"very nice and clean studio, very center of the city.staff is amazing ."
